ID,Order,Family,Genus,Scientific name,Label,sub-label,Italicise sub-label?,Description,license link,license,thumb,pic1,cred1,pic2,cred2,pic3,cred3,pic4,cred4,pic5,cred5,pic6,cred6,Extra search
015,Coleoptera,Endomychidae,Erotendomychus,Erotendomychus bimaculatus,Handsome fungus beetle,Erotendomychus bimaculatus,y,"These small beetles feed on fungus and can be recognized by their clubbed antennae and parallel ""seams"" along the edges of the prothorax. The species <i>Erotendomychus bimaculatus</i> is seldom seen. It is found only in cool, moist, high-elevation habitats in New South Wales and Victoria, where it feeds on fungus in leaf litter and decaying wood. ",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_015.jpg,img_015a.jpg,N. Porch,na,na,na,na,na,na,na,na,na,na,na
016,Coleoptera,Melyridae,na,na,Soft-winged flower beetles,Family Melyridae,n,"As their name suggests, these small, elongate beetles are usually spotted on or near flowers, where they feed on pollen or small insects. Like ladybirds and soldier beetles, melyrids are often brightly coloured to warn predators of their foul-tasting defensive chemicals.",na,na,thumb_016.jpg,img_016a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
017,Coleoptera,Rhipiceridae,na,na,Feather-horned beetles,Family Rhipiceridae,n,"These large, odd-looking beetles can be recognized by their large, delicate, fan-like antennae and pattern of white speckles. ",na,na,thumb_017.jpg,img_017a.jpg,K. Umbers,img_017b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
018,Coleoptera,Scarabaeidae,Diphucephala,na,Green scarab beetles,Diphucephala,y,"These widespread, metallic green beetles are voracious feeders, capable of defoliating both native and non-native plants. Several species occur in the Australian Alps.",na,na,thumb_018.jpg,img_018a.jpg,K. Harvey,img_018b.jpg,K. Harvey,img_018c.jpg,K. Harvey,na,na,na,na,na,na,na
019,Diptera,Asilidae,na,na,"Robber flies, Assassin flies",Family Asilidae,n,"These large flies are big-eyed, swift-flying predators of other insects and are often seen resting on leaves or twigs with their freshly-caught prey.",na,na,thumb_019.jpg,img_019a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,fly
020,Diptera,Muscidae,Musca,Musca vetustissima,Bush fly,Musca vetustissima,y,"Bush flies (also House flies) are among the most common flies in the world, both inside and out of houses. These medium-sized flies are usually black or grey, and do not bite.",na,na,thumb_020.jpg,img_020a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,flies
021,Diptera,Syrphidae,na,na,Hoverflies,Family Syrphidae,n,"Hoverflies may mimic wasps with their vivid black and yellow stripes, but these flies do not bite or sting and are usually seen hovering near (or perching on) flowers.",na,na,thumb_021.jpg,img_021a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,fly
022,Diptera,Tabanidae,Scaptia,na,"Horse flies, March flies",Scaptia,y,"These large, biting flies, commonly known as horse flies or march flies, are not a popular group among Australian hikers. They can be recognised by their huge, often brightly-coloured triangle-shaped eyes and hairy bodies. There are several species that occur in the mountains, and they are most abundant in the summer.",na,na,thumb_022.jpg,img_022a.jpg,K. Umbers,img_022b.jpg,K. Umbers,img_022c.jpg,M. Nash,na,na,na,na,na,na,fly
023,Diptera,Tephritidae,na,na,Fruit flies,Family Tephritidae,n,These small flies are found anywhere near ripe fruit. Alpine species often lay eggs into the seeds of daisies (Asteraceae). ,na,na,thumb_023.jpg,img_023a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,fly
024,Diptera,Tipulidae,na,na,Crane flies,Family Tipulidae,n,"These large, long-legged flies are conspicuous for their slow-bumbling flight. Larvae are aquatic, developing in fast-moving streams as plump, legless maggots.",na,na,thumb_024.jpg,img_024a.jpg,K. Umbers,img_024b.jpg,K. Umbers,na,na,na,na,na,na,na,na,fly
025,Ephemeroptera,Nesameletidae,Ameletoides,Ameletoides lacusalbiniae,Mayfly,Ameletoides lacusalbiniae,y,"In high elevation habitats, mayflies of this genus can be recognized by their speckled wings.",na,na,thumb_025.jpg,img_025a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,flies
026,Hemiptera,Aphididae,na,na,Aphids,Family Aphididae,n,"These tiny, plant-feeding bugs are a favorite prey of ladybird beetles and lacewings. Aphids are often found in large groups on their host plant, with many different life stages clustered together. In early spring, it is common to see dead aphids littering the snow. They are blown up to the mountains from surrounding countryside and die on the snow.",na,na,thumb_026.jpg,img_026a.jpg,K. Umbers,img_026b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
027,Hemiptera,Cicadellidae,na,na,Leafhoppers,Family Cicadellidae,n,"Leafhoppers are sometimes difficult to spot, with their flattened, leaf-like wings held like a tent above the body. They are also very small, usually less than 1 cm in length.",na,na,thumb_027.jpg,img_027a.jpg,N. Tatarnic,na,na,na,na,na,na,na,na,na,na,na
028,Hemiptera,Cicadidae,Deimeniana,na,Cicadas,Family Cicadidae,n,"These insects spend most of their lives underground, feeding from the roots of trees. Cicadas emerge from the soil in summer, moult into adults, and can be heard buzzing loudly from trees and shrubs. ",na,na,thumb_028.jpg,img_028a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
029,Hemiptera,Pentatomidae,na,na,"Stink bugs, Shield bugs",Family Pentatomidae,n,"This family of bugs can be recognized by their large, triangular scutellum and flattened, shield-shaped body. True to their name, many species can secrete or spray offensive-smelling chemicals when threatened. ",na,na,thumb_029.jpg,img_029a.jpg,K. Umbers,img_029b.jpg,R. Slatyer,na,na,na,na,na,na,na,na,na
030,Hymenoptera,Apidae,Exoneura,Exoneura bicolor,Bicolour xylopine,Exoneura bicolor,y,"In the Australian Alps, bees are commonly seen gathering nectar from flowers in spring and summer. At least 22 species of bee occur in the Australian mountains and most feed on several different flowers. <i>Exoneura bicolor</i> is a small native bee that is common in southern parts of mainland Australia, as well as in Tasmania. It is abundant in mountain areas, and is the second most common bee (after the European honey bee) on the Bogong High Plains.",na,na,thumb_030.jpg,img_030a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,na
031,Hymenoptera,Braconidae,na,na,Braconid wasps,Family Braconidae,n,"These graceful, slender wasps area often seen hunting for other insects to use as provisions for their larvae. Female parasitoid wasps can be recognized by the long, slender ovipositor arising from the tip of the abdomen. ",na,na,thumb_031.jpg,img_031a.jpg,K. Umbers,img_031b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
032,Hymenoptera,Formicidae,Iridomyrmex,na,Rainbow ants,Iridomyrmex,y,"These small black ants are highly abundant in the alpine zone throughout the summer. Becoming active soon after the snow melts, they often construct their nests near bogs.",na,na,thumb_032.jpg,img_032a.jpg,M. Nash,img_032b.jpg,M. Nash,na,na,na,na,na,na,na,na,na
033,Hymenoptera,Formicidae,Myrmecia,Myrmecia forficata,Jack-jumper ant,Myrmecia forficata,y,"These are Australia's largest and most conspicuous ants, with huge eyes and jaws. Also known as ""bull ants,"" these insects are aggressive hunters and can deliver a painful bite or sting when disturbed.",na,na,thumb_033.jpg,img_033a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,na
034,Hymenoptera,Pergidae,Pseudoperga,Pseudoperga lewisii,Sawfly,Pseudoperga lewisii,y,"As adults, these insects have wasp-like heads and wings but lack the slender, constricted waist characteristic of other Hymenoptera. The caterpillar-like larvae of sawflies are known as ""spitfires"" and are often found in dense family groups, feeding together on <i>Eucalyptus</i> leaves. ",na,na,thumb_034.jpg,img_034a.jpg,K. Umbers,img_034b.jpg,K. Umbers,img_034c.jpg,K. Umbers,na,na,na,na,na,na,flies
035,Lepidoptera,Geometridae,na,na,Geometer moths,Family Geometridae,n,"Although these moths are typically drab brown as adults, geometrid caterpillars are easily recognized by their ""inching"" gait as they travel across vegetation.",na,na,thumb_035.jpg,img_035a.jpg,K. Harvey,img_035b.jpg,M. Nash,img_035c.jpg,M. Nash,na,na,na,na,na,na,na
036,Lepidoptera,Hesperiidae,Anisynta,"Anisynta dominula, Anisynta monticolae",Grass skippers,"Anisynta dominula, Anisynta monticolae",y,"Skipper butterflies can be recognized by their relatively small size, stout bodies, and characteristic ""semi-erect"" wing posture. The underside of the wing is typically more vividly patterned than the dorsal side.",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_036.jpg,img_036a.jpg,R. Reiner,na,na,na,na,na,na,na,na,na,na,na
037,Lepidoptera,Hesperiidae,Oreisplanus,Oreisplanus munionga,Alpine Sedge-skipper,Oreisplanus munionga,y,"Skipper butterflies can be recognized by their relatively small size, stout bodies, and characteristic ""semi-erect"" wing posture. The underside of the wing is typically more vividly patterned than the dorsal side.",http://creativecommons.org/licenses/by-nc/3.0/au/,CC BY-NC 3.0,thumb_037.jpg,img_037a.jpg,R. Best,img_037b.jpg,R. Best,na,na,na,na,na,na,na,na,na
038,Lepidoptera,Lycaenidae,na,na,Gossamer-winged butterflies,Family Lycaenidae,n,"These small, delicate butterflies are often blue-winged, but may also be copper-coloured or purple. They can be recognized by their small size, black-and-white banded antennae, and fine white border along the outer edges of the wings. Many species have small eyespots on the underside of the hindwing.",na,na,thumb_038.jpg,img_038a.jpg,K. Umbers,img_038b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
039,Lepidoptera,Noctuidae,Agrotus,Agrotis infusa,Bogong moth,Agrotis infusa,y,"The bogong moth is one of the most iconic and best known of Australia's alpine insects. In spring, the moths migrate en masse from their overwintering habitats in southern Queensland to the mountains where they stay throughout the summer. During summer, adults can be found in huge numbers in rock crevices, where they remain inactive and live off their fat reserves.  ",na,na,thumb_039.jpg,img_039a.jpg,K. Green,na,na,na,na,na,na,na,na,na,na,na
040,Lepidoptera,Nymphalidae,Oreixenica,"Oreixenica orichora, Oreixenica correae",Silver Xenica,"Oreixenica orichora, Oreixenica correae",y,This alpine butterfly belongs to the family Nymphalidae and can be recognized by its checkerspot wing pattern with both dorsal and ventral eyespots. ,na,na,thumb_040.jpg,img_040a.jpg,K. Umbers,img_040b.jpg,M. Nash,na,na,na,na,na,na,na,na,na
042,Lepidoptera,Saturniidae,na,na,Saturniid moths,Family Saturniidae,n,"These moths are large, attractive insects with broad, feather-like antennae and usually with conspicuous eyespots on the dorsal side of the wings. Larvae are enormous caterpillars, often found feeding on the leaves of gum trees. This group is not common in the mountains, but the emperor gum moth (<i>Opodiphthera eucalypti</i>) and Helena moth (<i>Opodiphthera helena</i>) are sometimes found in montane woodlands.",na,na,thumb_042.jpg,img_042a.jpg,R. Slatyer,img_042b.jpg,R. Slatyer,img_042c.jpg,R. Slatyer,img_042d.jpg,R. Slatyer,na,na,na,na,na
043,Lepidoptera,Notodontidae,Trichiocercus,Trichiocercus sparshalli,Long-tailed bombyx,Trichiocercus sparshalli,y,"The Notodontidae are a small family of moths found throughout Australia. Although the adult form of these insects is usually a rather drab brown moth, the caterpillars are instantly recognizable for their habit of marching overland in long, single-file ""processions"". At least nine species occur in the Australian Alps, including <i>Trichiocercus sparshalli</i>. Most adults of this species are white, but can also be light or dark grey. When disturbed, the moths curl up to expose coloured bands along the back of their abdomen.",na,na,thumb_043.jpg,img_043a.jpg,L. Roberts,img_043b.jpg,L. Roberts,na,na,na,na,na,na,na,na,na
044,Mecoptera,Bittacidae,na,na,Hangingflies,Family Bittacidae,n,"These scorpionflies derive their common name from the habit of dangling from vegetation by their hooked feet, waiting to ambush small prey. ",na,na,thumb_044.jpg,img_044a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,fly
045,Neuroptera,Mantispidae,"Theristria, Ditaxis",na,Mantisflies,Family Mantispidae,n,"Mantisflies (family Mantispidae) are small predatory insects with clear, membranous wings and mantis-like forelimbs. These can be distinguished from true mantises (order Mantodea) by their clear wings and much, much smaller size.",na,na,thumb_045.jpg,img_045a.jpg,K. Harvey,na,na,na,na,na,na,na,na,na,na,fly
046,Odonata,Aeschnidae,Austroaeschna,Austroaeschna flavomaculata,Alpine darner,Austroaeschna flavomaculata,y,"These predatory insects are quick fliers with sharp vision. They can usually be seen resting briefly on vegetation near water or patrolling their territory in a loop. The alpine darner is a large insect, growing up to ~10 cm in length. It is restricted to mountain regions of New South Wales and Victoria. Interestingly, although the male of this species was described in 1916, it took nearly 70 years before the female and larvae were described.",na,na,thumb_046.jpg,img_046a.jpg,K. Umbers,img_046b.jpg,M. Nash,na,na,na,na,na,na,na,na,fly
047,Orthoptera,Acrididae,Kosciuscola,Kosciuscola cognatus,Common montane grasshopper,Kosciuscola cognatus,y,"The common montane grasshopper is common on mountains below 1600 m in New South Wales and the Australian Capital Territory. It is less common in Victoria, but can be found on the Bogong High Plains and near Mt Hotham. Males and females have black ""knees"", which distinguishes them from close relatives, and their colouring ranges from brown to green-brown. Adults can be found between January and May. This species has short wings and cannot fly.",na,na,thumb_047.jpg,img_047a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
048,Orthoptera,Acrididae,Kosciuscola,Kosciuscola cuneatus,Brown kosciuscola,Kosciuscola cuneatus,y,"The brown kosciuscola is the least common of the four Kosicuscola species that are found on the mainland. Although it can be found in sub-alpine areas of Victoria, New South Wales and the Australian Capital Territory, it usually occurs in low numbers. Males and females are dark brown with black ""knees"", making them difficult to distinguish from the common montane grasshopper (<i>Kosciuscola cognatus</i>). A thick pale stripe across the top of each wing can usually be used to identify the brown kosciuscola. This species has short wings and cannot fly.",na,na,thumb_048.jpg,img_048a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
049,Orthoptera,Acrididae,Kosciuscola,Kosciuscola usitatus,Common Kosciuscola ,Kosciuscola usitatus,y,"The common kosciuscola is common in the Australian Capital Territory, New South Wales and northern Victorian mountains, above 1500 m. It is often found together with the alpine thermocolour grasshopper, but is easily distinguished from that species by its grassy-green colour and two yellow stripes that run down its head and back. Adults are often found in high densitites between February and May. This species has short wings and cannot fly.",na,na,thumb_049.jpg,img_049a.jpg,M. Nash,img_049b.jpg,K. Umbers,img_049c.jpg,M. Nash,na,na,na,na,na,na,na
050,Orthoptera,Acrididae,Kosciuscola,Kosicuscola tristis,"Alpine thermocolour grasshopper, Chameleon grasshopper",Kosciuscola tristis,y,"The alpine thermocolour (or chameleon) grasshopper is the most common grasshopper above 1600 m. Males are easily distinguished from other species by their bright blue colour, while the much larger females are mottled brown. The species is found from Mt Baw Baw north to Mt Jagungal and adults occur in high densitites between February and May. Like many mountain grasshoppers, and all of the <i>Kosciuscola</i>, this species has short wings and cannot fly.",na,na,thumb_050.jpg,img_050a.jpg,K. Umbers,img_050b.jpg,K. Umbers,img_050c.jpg,K. Umbers,img_050d.jpg,K. Umbers,img_050e.jpg,K. Umbers,img_050f.jpg,N. Tatarnic,na
051,Orthoptera,Acrididae,Percassa,Percassa rugifrons,Mountain grasshopper,Percassa rugifrons,y,"Not a lot is known about this grasshopper, which can be found in sub-alpine areas of Victoria and New South Wales. It is found in sub-alpine shrubs, and can sometimes be seen laying eggs on foot tracks. It is a member of the sub-family Catantopinae, the ""spur-throated grasshoppers"", which are enormously diverse in Australia. ",na,na,thumb_051.jpg,img_051a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
052,Orthoptera,Acrididae,Phaulacridium,Phaulacridium vittatum,Wingless grasshopper,Phaulacridium vittatum,y,"Although called the wingless grasshopper, many individuals (particularly at low elevations) have wings and can fly. Wingless grasshoppers are widespread throughout Australia and can be found from lowland areas up to around 1800 m. ",na,na,thumb_052.jpg,img_052a.jpg,K. Umbers,na,na,na,na,na,na,na,na,na,na,na
053,Orthoptera,Gryllidae,Bobilla,na,Grassland pygmy cricket,Bobilla,y,"These small, black, crickets are common in the Australian Alps. They are usually found in grassland and are very active on sunny days. They are small (7-9 mm), so keep a sharp eye out for them. Like most crickets, male <i>Bobilla</i> ""chirp"" by rubbing their wings together. At least three species of Bobilla live in the Australian Alps (<i>B. victoriae</i>, <i>B. gullanae</i>, and <i>B. plurampe</i>) but they are virtually indistinguishable in the field.",na,na,thumb_053.jpg,img_053a.jpg,K. Umbers,img_053b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
054,Orthoptera,Pyrgomorphidae,Monistria,Monistria concinna,Mountain spotted grasshopper,Monistria concinna,y,"The mountain spotted grasshopper is an easily identified species with its black body and yellow or white spots. This species makes its own anti-freeze, allowing it to survive cold alpine winters and be among the first insects to emerge after the snow melts. This species has short wings and cannot fly.",na,na,thumb_054.jpg,img_054a.jpg,K. Umbers,img_054b.jpg,K. Harvey,img_054c.jpg,N. Tatarnic,na,na,na,na,na,na,na
055,Orthoptera,Tettigoniidae,Acripeza,Acripeza reticulata,Mountain katydid,Acripeza reticulata,y,"Also called the ""alpine grasshopper"", this charismatic species is highly recognisable. When startled, they lift their wings to reveal a bright, red-and-blue striped abdomen. Males have long wings and can often be found basking on their sides in the sun. They produce a buzzing sound by rubbing their wings together. They are common above 1500 m in snowgum understory, but can also be found at lower elevations.",na,na,thumb_055.jpg,img_055a.jpg,R. Slatyer,img_055b.jpg,K. Umbers,img_055c.jpg,M. Nash,img_055d.jpg,K. Umbers,img_055e.jpg,M. Nash,img_055f.jpg,na,na
056,Orthoptera,Tettigoniidae,Austrodectes,Austrodectes monticolus,"Alpine katydid, Australian shield-back",Austrodectes monticolus,y,"This katydid is common below the treeline, particularly in and around low shrubs. It is darkly coloured and has a distinctive jerking motion when it jumps. Unlike many katydids, it is not predaceous and instead eats flowers, seeds, and grass.  The only species in the <i>Austrodectes</i> genus, <i>A. monticolus</i> is also the only Australian member of the katydid sub-family Tettigoniinae to occur at high elevation.",na,na,thumb_056.jpg,img_056a.jpg,K. Umbers,img_056b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
057,Phasmatodea,Phasmatidae,Ctenomorphodes,na,Stick insects,Family Phasmatidae,n,"Stick insects are long, slender insects that specialize in mimicking leaves and twigs. When not moving, these insects are extremely difficult to spot. In the Alps, stick insects are rare.",na,na,thumb_057.jpg,img_057a.jpg,K. Umbers,img_057b.jpg,R. Slatyer,na,na,na,na,na,na,na,na,na
058,Plecoptera,Eustheniidae,Eusthenia,Eusthenia venosa,Stonefly,Eusthenia venosa,y,"Stoneflies develop in freshwater habitats like mayflies, but possess abdominal gills (as nymphs) and hold their patterned wings flat against the body (as adults). This species is found in both mountain and lowland areas of New South Wales and Victoria.",na,na,thumb_058.jpg,img_058a.jpg,R. Slatyer,na,na,na,na,na,na,na,na,na,na,flies
059,Orthoptera,Tettigoniidae,Tinzeda,"Tinzeda soror, Tinzeda albosignata","Kosciuszko tinzeda, Stout tinzeda","Tinzeda soror, Tinzeda albosignata",y,"<i>Tinzeda</i> is a classic leaf mimic, a camouflage strategy common among katydids around the world. They can be recognised by their characteristic white wing stripes that resemble leaf veins. Two species of <i>Tinzeda</i>, <i>T. soror</i> (Kosciuszko tinzeda) and <i>T. albosignata</i> (Stout tinzeda) occur in the Australian Alps, often together, and are difficult to tell apart. Both males and females are long-winged and able to fly and they are usually encountered in shrubbery in the sub-alpine zone.",na,na,thumb_059.jpg,img_059a.jpg,K. Umbers,img_059b.jpg,K. Umbers,na,na,na,na,na,na,na,na,na
060,Hymenoptera,Apidae,Apis,Apis mellifera,European honey bee,Apis mellifera,y,The European honey bee is the most common and widely distributed of all bees. It is a generalist and can be found on a wide range of native and non-native flower species. It has only recently been recorded in the Australian Alps but is now very common across the Bogong High Plains.,na,na,thumb_060.jpg,img_060a.jpg,L. Johanson,img_060b.jpg,M. Nash,na,na,na,na,na,na,na,na,na
061,Diptera,Chloropidae,na,na,"Frit flies, Grass flies",Family Chloropidae,n,"These tiny flies (usually < 5 mm) are common but easily missed. Not much is known about their ecology but, in the mountains, they are often found on alpine daisies. ",na,na,thumb_061.jpg,img_061a.jpg,M. Nash,img_061b.jpg,M. Nash,na,na,na,na,na,na,na,na,fly
062,Lepidoptera,Noctuidae,Phalaenoides,Phalaenoides tristifica,Owlet moth,Phalaenoides tristifica,y,"The Noctuidae are a large family of moths that includes a wide diversity of species, some drab brown or grey, and some brightly coloured. The caterpillar stage of <i>P. tristifica</i> is strikingly coloured, with a black and white checkered pattern and an orange head and rump. Adult moths have a wing span of ~4 cm. This species occurs throughout southeastern Australia.",na,na,thumb_062.jpg,img_062a.jpg,R. Slatyer,img_062b.jpg,R. Richter,na,na,na,na,na,na,na,na,na
063,Plecoptera,Eustheniidae,Thaumatoperla,Thaumatoperla alpina,Alpine stonefly,Thaumatoperla alpina,y,"The endangered Alpine Stonefly is found only on the Bogong High Plains in Victoria and is known from only 12 sites within this region. Nymphs are usually found in narrow, stony streams, while adults live in nearby rocks and vegetation. The species is long-lived, spending approximately three years developing to the adult stage. Adults emerge between February and May each year, and live for only two months. The largest of Australia's stoneflies, the nymphs are also the top insect predators in streams and eat a variety of both plant and animal material.",na,na,thumb_063.jpg,img_063a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,flies
064,Lepidoptera,Psychidae,Lomera,Lomera caespitosae,Alpine case moth,Lomera caespitosae,y,"These peculiar moths are often encountered as caterpillars, when they construct and live in a ""bag"" of twigs, leaf fragments, or pine needles. Adults are hairy, drab, and rather disheveled in appearance; in many species, adult females are soft-bodied and completely wingless. The alpine case moth is one of two species (the other being the alpine swift moth/grass grub) often blamed for large-scale damage to snowgrass (<i>Poa</i> spp.).",na,na,thumb_064.jpg,img_064a.jpg,M. Nash,na,na,na,na,na,na,na,na,na,na,na
